title,latitude,longitude
อุบัติเหตุ ถนนเจริญราษฎร์,13.707122055097,100.51862597466
อุบัติเหตุ ถนนพระราม 3 ขาออก,13.713343365144999,100.55417597294
อุบัติเหตุ สะพานข้ามแยกถนนพระราม 4,13.719096790196,100.55869147182
อุบัติเหตุ ถนนพระราม 3,13.71816916417,100.55826768278999
อุบัติเหตุ ถนนสาทรใต้ ขาออก,13.723396132602,100.53581222892001
อุบัติเหตุ ปากซอยทองหล่อ 7 (ซอยสิ่งแวดล้อม),13.730355688977001,100.58130517602
อุบัติเหตุ บางกะปิ ห้วยขวาง กรุงเทพมหานคร,13.753606900000001,100.5803082
อุบัติเหตุ ถนนราชดำริ,13.739451525567999,100.53948953748001
อุบัติเหตุ ถนนเจริญราษฎร์,13.718008913797,100.51980346441
อุบัติเหตุ ถนนพระราม 9,13.755533174032,100.57104706764
อุบัติเหตุ ถนนสุขุมวิท ขาออก,13.705515562298999,100.60114815831
อุบัติเหตุ บางกะปิ ห้วยขวาง กรุงเทพมหานคร,13.744134141373,100.59063188732
อุบัติเหตุ บางกะปิ ห้วยขวาง กรุงเทพมหานคร,13.7536065,100.58030749999999
อุบัติเหตุ บางกะปิ ห้วยขวาง กรุงเทพมหานคร,13.753607537881999,100.58031342924
อุบัติเหตุ บางกะปิ ห้วยขวาง กรุงเทพมหานคร,13.7536072,100.5803084
อุบัติเหตุ ถนนราชดำริ ขาออก,13.749405473207,100.54094061254999
อุบัติเหตุ แยกเพลินจิต,13.743272401188,100.54748252034
อุบัติเหตุ ถนนพระราม 4,13.733335128917,100.52780717611
อุบัติเหตุ ทางด่วนขั้นที่ 1,13.728986462735,100.55201411246999
อุบัติเหตุ กรุงเทพมหานคร,13.755789794057,100.56981995702
อุบัติเหตุ ถนนพระราม 3 ขาออก,13.713837154212001,100.55464804173
อุบัติเหตุ กรุงเทพมหานคร,13.730734146389999,100.58650128543002
อุบัติเหตุ กรุงเทพมหานคร,13.752533499540998,100.56576143950001
อุบัติเหตุ ถนนพระราม 6,13.761203499163,100.52552327514
อุบัติเหตุ ถนนพัฒนาการ ขาออก,13.739593523083,100.60409590601999
อุบัติเหตุ ถนนราชดำริ ขาออก,13.746191753076,100.54041489958999
อุบัติเหตุ ถนนราชดำริ ขาเข้า,13.747256050359,100.54068446159
อุบัติเหตุ ถนนสุรวงศ์,13.725423310359002,100.51626697183
อุบัติเหตุ กรุงเทพมหานคร,13.725844768316,100.51887374371
อุบัติเหตุ ถนนเพชรบุรี,13.749435434719,100.55920243263
อุบัติเหตุ ทางพิเศษเฉลิมมหานคร ขาออก,13.713332942145,100.57403504848
อุบัติเหตุ กรุงเทพมหานคร,13.76015489667,100.51286358386
อุบัติเหตุ กรุงเทพมหานคร,13.722932654251,100.58487754315
อุบัติเหตุ กรุงเทพมหานคร,13.714588584526998,100.5875761807
อุบัติเหตุ ถนนศรีอยุธยา,13.757656468315,100.53593829274
อุบัติเหตุ ถนนสาทรเหนือ,13.718647308942002,100.51883250475001
อุบัติเหตุ สาธร กรุงเทพมหานคร,13.70832,100.519759
อุบัติเหตุ แยกเพลินจิต,13.743325812236,100.54749324918001
อุบัติเหตุ ถนนเจริญราษฎร์,13.717920320048,100.52001133561
อุบัติเหตุ ถนนราชดำริ,13.734441172848001,100.53853869438
อุบัติเหตุ ปากซอยพระราม 9 ซอย 25,13.750636497407,100.5964127183
อุบัติเหตุ ดินแดง ดินแดง กรุงเทพมหานคร,13.759665846004,100.56711348003
อุบัติเหตุ มักกะสัน ราชเทวี กรุงเทพมหานคร,13.749341967815,100.55990718305
อุบัติเหตุ ถ.ดินแดง ขาเข้า,13.760186159421,100.55532932281
อุบัติเหตุ กรุงเทพมหานคร,13.748509557081,100.56334041059
อุบัติเหตุ กรุงเทพมหานคร,13.719579493018,100.51124420017
อุบัติเหตุ ซ.โรงพยาบาลปิยะเวช,13.753608100000001,100.5803091
อุบัติเหตุ กรุงเทพมหานคร,13.753605499999999,100.58030699999999
อุบัติเหตุ ถนนอโศกมนตรี ขาเข้า,13.744298933352999,100.56241437793001
อุบัติเหตุ ถนนเพชรบุรี,13.749899186335002,100.54197326303002
อุบัติเหตุ สะพานมิตรภาพไทย-ญี่ปุ่น,13.734110272148,100.52567347884
อุบัติเหตุ ซอยสุขุมวิท 50,13.70419309648,100.59390485286998
อุบัติเหตุ ทางยกระดับพระราม 9 ขาเข้า,13.755653016921,100.57013913989
อุบัติเหตุ ถนนพระราม 4 ขาออก,13.714669688045001,100.57738244534
อุบัติเหตุ บนทางยกระดับพระราม 9,13.756026874237001,100.56533932685998
อุบัติเหตุ ปากซอยเอกมัย 4 (ซอยพาสนา 1),13.725087185695,100.58487385510999
อุบัติเหตุ ถนนราชดำริ,13.746544782454,100.54048731923001
อุบัติเหตุ ถนนพระราม 9,13.755977374,100.56725174189
อุบัติเหตุ ถนนอังรีดูนังค์,13.731698851765001,100.53368121385999
อุบัติเหตุ ถนนอโศก-ดินแดง,13.75113020794,100.56395530701
อุบัติเหตุ ถนนพระราม 9,13.753501046126,100.58758020401
อุบัติเหตุ ซ.โรงพยาบาลปิยะเวช,13.753608600000002,100.58031290000001
อุบัติเหตุ ทางยกระดับพระราม 9,13.755148894786998,100.57923987508002
อุบัติเหตุ ถ.สุขุมวิท,13.721711255755999,100.58231301605998
อุบัติเหตุ กรุงเทพมหานคร,13.713266821231999,100.59321351349001
อุบัติเหตุ ถนนพระราม 9 ขาเข้า,13.755792399335,100.56763529778
อุบัติเหตุ ทางด่วนขั้นที่ 1,13.728977343218999,100.55198729038
อุบัติเหตุ ซอยปราโมทย์ 3,13.724808,100.520131
อุบัติเหตุ พระราม 3 ซอย 77 (ซอยอมร),13.711202406208,100.55014494807
อุบัติเหตุ ถนนนราธิวาสราชนครินทร์,13.722786412472999,100.53006291389
อุบัติเหตุ กรุงเทพมหานคร,13.753642900000001,100.5803816
อุบัติเหตุ กรุงเทพมหานคร,13.762174266412,100.56661538780001
อุบัติเหตุ กรุงเทพมหานคร,13.710862678235,100.59725191444001
อุบัติเหตุ ถ.สุขุมวิท,13.706785904229,100.60053728521
อุบัติเหตุ ถนนสวรรคโลก,13.757855770409,100.52080526948
อุบัติเหตุ ถนนพระราม 4,13.725265670557,100.54725587368
อุบัติเหตุ ถนนจตุรทิศ,13.756585705139,100.54898321629
อุบัติเหตุ วัฒนา กรุงเทพมหานคร,13.729999378255,100.58618612587
อุบัติเหตุ บางกะปิ ห้วยขวาง กรุงเทพมหานคร,13.751514819448,100.55968724191
อุบัติเหตุ บางกะปิ ห้วยขวาง กรุงเทพมหานคร,13.7536071,100.580308
อุบัติเหตุ กรุงเทพมหานคร,13.753605800000003,100.5803078
อุบัติเหตุ สะพานข้ามแยกถนนพระราม 4,13.717801760714,100.5582100153
อุบัติเหตุ กรุงเทพมหานคร,13.753631200000001,100.58031729999999
อุบัติเหตุ บางกะปิ ห้วยขวาง กรุงเทพมหานคร,13.7536077,100.58031020000001
อุบัติเหตุ กรุงเทพมหานคร,13.744091803494001,100.58600071818
อุบัติเหตุ ทางด่วนรามอินทราอาจณรงค์,13.760686362869,100.59712752700001
อุบัติเหตุ ทางด่วนขั้นที่1 ขาออก,13.709756523155,100.58285549283
อุบัติเหตุ ปากซอยทองหล่อ 13 (ซอยอรรครภัทร),13.733276504535,100.58234050870001
อุบัติเหตุ กรุงเทพมหานคร,13.754454910925,100.52824538201
อุบัติเหตุ กรุงเทพมหานคร,13.763008582445,100.55592343211
อุบัติเหตุ กรุงเทพมหานคร,13.755679069714999,100.56492626667
อุบัติเหตุ แยกอโศก-เพชรบุรี,13.748966471477,100.5633585155
อุบัติเหตุ ปากซอยเพชรบุรี 10,13.754446769385,100.52824571729
อุบัติเหตุ เชิงทางลงสะพานข้ามแยกถนนพระราม 4,13.71923489151,100.55874913931
อุบัติเหตุ กรุงเทพมหานคร,13.75587218596,100.54267331958
อุบัติเหตุ กรุงเทพมหานคร,13.751165054224,100.53747016937
อุบัติเหตุ กรุงเทพมหานคร,13.753249634204,100.54176773876
อุบัติเหตุ ทางพิเศษเฉลิมมหานคร,13.743671029695001,100.55045977235001
อุบัติเหตุ ถนนกรุงเกษม,13.747274287969,100.51641717553001
อุบัติเหตุ ถนนเพชรบุรีตัดใหม่,13.744911202934,100.5841858685
อุบัติเหตุ ถนนพระราม 4,13.712708864212,100.58919221163
อุบัติเหตุ ทางด่วนขั้นที่ 1,13.728959104185,100.55201411246999
อุบัติเหตุ กรุงเทพมหานคร,13.717757463805,100.56578658521
อุบัติเหตุ ถนนพระราม 4,13.712948593719,100.58398470283001
อุบัติเหตุ กลางแยกพร้อมพงษ์,13.74732248736,100.57329341769001
อุบัติเหตุ กรุงเทพมหานคร,13.753646799999999,100.58034649999999
อุบัติเหตุ ทางด่วนขั้น 1,13.741400401382,100.5505335331
อุบัติเหตุ กรุงเทพมหานคร,13.703075509342,100.6024768576
อุบัติเหตุ ถนนวิทยุ,13.748132756727,100.5483314395
อุบัติเหตุ กรุงเทพมหานคร,13.730097086917,100.51567621529
อุบัติเหตุ ถนนกรุงเกษม,13.746956432274,100.51634475589
อุบัติเหตุ ถนนพระราม 4 ขาเข้า,13.712875632589999,100.58398872614
อุบัติเหตุ ห้วยขวาง ห้วยขวาง กรุงเทพมหานคร,13.755850041103999,100.56709315628001
อุบัติเหตุ ถนนรัชดาภิเษก,13.757320389889,100.56532859802
อุบัติเหตุ ถนนจตุรทิศ,13.755886189324,100.54329559207
อุบัติเหตุ ถนนพระราม 4,13.733241329898,100.52741825580999
อุบัติเหตุ สะพานข้ามแยกรามคำแหง,13.748191377392,100.60305386782
อุบัติเหตุ  ถ.เพชรบุรีตัดใหม่,13.748295591872001,100.56799571961001
อุบัติเหตุ ซอยโรงพยาบาลปิยะเวท,13.753486633301,100.58025360107
